
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.994813	0.0188476
1	2.11762,	0.993421	0.0136091	YES
2	2.11762,-0.162309,	0.993151	0.00956284	YES
3	2.11762,-0.162309,-0.784407,	0.99111	0.00995694	YES
4	2.11762,-0.162309,-0.784407,0.873968,	0.988618	0.0153846	YES
n	100ms Silence pruned	0.00322754	0.998897	NO
n	100ms Silence	0.00215169	0.999286	NO
