
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	1	0.0135638
1	-1.16905,	1	0.0140541	YES
2	-1.16905,5.92776,	1	0.0139584	YES
3	-1.16905,5.92776,-0.857657,	1	0.0135747	YES
n	100ms Silence	0.999734	0.0344828	YES
