
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.994183	0.0233766
1	-2.12946,	0.992812	0.0241848	YES
2	-2.12946,-10.047,	0.995179	0.0256948	YES
3	-2.12946,-10.047,-5.72876,	0.995964	0.0182975	YES
4	-2.12946,-10.047,-5.72876,-0.304227,	0.99235	0.016784	YES
5	-2.12946,-10.047,-5.72876,-0.304227,-5.94819,	0.993147	0.017891	YES
6	-2.12946,-10.047,-5.72876,-0.304227,-5.94819,3.67304,	0.99566	0.0173983	YES
7	-2.12946,-10.047,-5.72876,-0.304227,-5.94819,3.67304,-0.0809862,	0.995757	0.0195822	YES
8	-2.12946,-10.047,-5.72876,-0.304227,-5.94819,3.67304,-0.0809862,-2.79194,	0.989328	0.0164456	YES
9	-2.12946,-10.047,-5.72876,-0.304227,-5.94819,3.67304,-0.0809862,-2.79194,-7.76581,	0.991877	0.0276082	YES
n	100ms Silence	0.0254912	0.991337	NO
