
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.994247	0.00819896
1	-0.377838,	0.994393	0.00640342	YES
2	-0.377838,6.58625,	0.994247	0.0119793	YES
3	-0.377838,6.58625,-2.98972,	0.973832	0.00653773	YES
n	100ms Silence pruned	0	1	NO
n	100ms Silence	0.000266738	0.999939	NO
