
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.996765	0.0061828
1	0.0136576,	0.995932	0.00729927	YES
2	0.0136576,0.276078,	0.996535	0.00743297	YES
3	0.0136576,0.276078,-0.16303,	0.995156	0.00564668	YES
4	0.0136576,0.276078,-0.16303,-0.448809,	0.995365	0.00598965	YES
5	0.0136576,0.276078,-0.16303,-0.448809,-0.774262,	0.995183	0.00720769	YES
6	0.0136576,0.276078,-0.16303,-0.448809,-0.774262,-1.31343,	0.969464	0.00955593	YES
n	100ms Silence pruned	0.968263	0.562654	NO
n	100ms Silence	0.959221	0.550542	NO
