
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.999193	0.00482186
1	-3.67184,	0.998932	0.00584485	YES
2	-3.67184,-0.380019,	1	0.00538938	YES
3	-3.67184,-0.380019,0.429621,	0.998621	0.00494505	YES
4	-3.67184,-0.380019,0.429621,-9.08728,	0.998923	0.00642742	YES
5	-3.67184,-0.380019,0.429621,-9.08728,2.69016,	0.998929	0.00453696	YES
n	100ms Silence	0.980392	0.012713	YES
