
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.989491	0.00472879
1	-0.542667,	0.989292	0.00131822	YES
2	-0.542667,-1.86014,	0.988639	0.0016389	YES
3	-0.542667,-1.86014,0.487348,	0.989298	0.00210637	YES
4	-0.542667,-1.86014,0.487348,-0.0693378,	0.987644	0.00460206	YES
5	-0.542667,-1.86014,0.487348,-0.0693378,-3.34964,	0.985441	0.00245633	YES
n	100ms Silence	0.951271	0.0153509	YES
