
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.995748	0.00899233
1	-0.353737,	0.996221	0.00699489	YES
2	-0.353737,-2.18307,	0.994619	0.00964372	YES
3	-0.353737,-2.18307,11.9193,	0.987622	0.030256	YES
n	100ms Silence	0.559946	0.908939	NO
