
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.998397	0.0132066
1	-2.76622,	0.998152	0.0174162	YES
2	-2.76622,-0.182727,	0.997575	0.0177766	YES
3	-2.76622,-0.182727,0.214906,	0.997833	0.0144462	YES
4	-2.76622,-0.182727,0.214906,-1.86106,	0.997067	0.0124142	YES
n	100ms Silence pruned	0.962364	0.584146	NO
n	100ms Silence	0.956428	0.563842	NO
