
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.996248	0.00401929
1	-2.33222,	0.998119	0.00482315	YES
2	-2.33222,-1.93388,	0.998401	0.00478215	YES
3	-2.33222,-1.93388,0.0245763,	0.997874	0.00582473	YES
4	-2.33222,-1.93388,0.0245763,-5.82461,	0.99561	0.00602575	YES
5	-2.33222,-1.93388,0.0245763,-5.82461,-0.392865,	0.994337	0.00780409	YES
6	-2.33222,-1.93388,0.0245763,-5.82461,-0.392865,-5.88374,	0.968538	0.00556948	YES
7	-2.33222,-1.93388,0.0245763,-5.82461,-0.392865,-5.88374,5.48546,	0.961486	0.0314208	YES
n	100ms Silence	0.967777	0.563257	NO
