
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.997824	0.00244698
1	-0.137189,	0.998104	0.00297619	YES
2	-0.137189,-0.114674,	0.997803	0.00329218	YES
3	-0.137189,-0.114674,-0.558627,	0.997263	0.00300958	YES
4	-0.137189,-0.114674,-0.558627,0.248892,	0.998655	0.00214996	YES
5	-0.137189,-0.114674,-0.558627,0.248892,-9.79237,	0.998902	0.0309004	YES
6	-0.137189,-0.114674,-0.558627,0.248892,-9.79237,-7.21721,	0.990528	0.0486093	YES
7	-0.137189,-0.114674,-0.558627,0.248892,-9.79237,-7.21721,0.404046,	0.991546	0.00192149	YES
n	100ms Silence	0.987081	0.378589	NO
