
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	1	0.0021978
1	-0.382658,	1	0.00347315	YES
2	-0.382658,0.165831,	1	0.00264271	YES
3	-0.382658,0.165831,2.57513,	0.99947	0.0146176	YES
4	-0.382658,0.165831,2.57513,-1.49676,	0.999731	0.0148659	YES
5	-0.382658,0.165831,2.57513,-1.49676,-0.680598,	0.998644	0.0176141	YES
n	100ms Silence	0.998917	0.208958	NO
