
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.998388	0.00588393
1	-1.16916,	0.999196	0.0087766	YES
2	-1.16916,1.74037,	0.999735	0.0112861	YES
3	-1.16916,1.74037,-16.7426,	0.999179	0.015903	YES
4	-1.16916,1.74037,-16.7426,-5.94439,	0.983283	0.0375536	YES
5	-1.16916,1.74037,-16.7426,-5.94439,-4.76986,	0.984832	0.00737101	YES
6	-1.16916,1.74037,-16.7426,-5.94439,-4.76986,-0.0781893,	0.984958	0.00729927	YES
n	100ms Silence	0.975731	0.121682	NO
