
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.983929	0.019873
1	0.131171,	0.98088	0.0424	YES
2	0.131171,0.128052,	0.987985	0.0415894	YES
3	0.131171,0.128052,-1.28383,	0.987828	0.0371737	YES
4	0.131171,0.128052,-1.28383,-0.550249,	0.986895	0.0204407	YES
5	0.131171,0.128052,-1.28383,-0.550249,0.0385263,	0.990431	0.0212766	YES
6	0.131171,0.128052,-1.28383,-0.550249,0.0385263,0.460292,	0.989777	0.0292876	YES
n	100ms Silence pruned	0.904247	0.43423	NO
n	100ms Silence	0.900503	0.408174	NO
