
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.997322	0.00187617
1	-1.25381,	0.996419	0.00193157	YES
2	-1.25381,-0.491301,	0.996821	0.00291468	YES
3	-1.25381,-0.491301,0.568687,	0.997604	0.0015983	YES
4	-1.25381,-0.491301,0.568687,-16.8033,	0.997307	0.00349839	YES
5	-1.25381,-0.491301,0.568687,-16.8033,-8.30703,	0.998692	0.0154679	YES
n	100ms Silence pruned	0.991469	0.0187908	YES
n	100ms Silence	0.991293	0.0116658	YES
