
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.988707	0.00190011
1	-0.71036,	0.991195	0.00241676	YES
2	-0.71036,-0.307005,	0.994462	0.00211696	YES
3	-0.71036,-0.307005,-1.74753,	0.955743	0.00424328	YES
4	-0.71036,-0.307005,-1.74753,-0.437024,	0.952954	0.00428694	YES
5	-0.71036,-0.307005,-1.74753,-0.437024,-1.08157,	0.951691	0.00197017	YES
6	-0.71036,-0.307005,-1.74753,-0.437024,-1.08157,3.38291,	0.952022	0.010367	YES
n	100ms Silence pruned	0.967996	0.0243302	YES
n	100ms Silence	0.989935	0.0103345	YES
