
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.998375	0.0136473
1	-4.95721,	0.997276	0.0134735	YES
2	-4.95721,0.245075,	0.997247	0.0141497	YES
3	-4.95721,0.245075,4.11047,	0.997838	0.0196495	YES
4	-4.95721,0.245075,4.11047,-1.13368,	0.996751	0.0181333	YES
5	-4.95721,0.245075,4.11047,-1.13368,-3.05941,	0.99731	0.0492308	YES
n	100ms Silence pruned	0.98694	0.0369311	YES
n	100ms Silence	0.985376	0.0356492	YES
