
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.995214	0.00186667
1	-0.579585,	0.995425	0.000810373	YES
2	-0.579585,-0.421491,	0.99604	0.00132345	YES
3	-0.579585,-0.421491,-0.515832,	0.995453	0.00107354	YES
4	-0.579585,-0.421491,-0.515832,1.22366,	0.997565	0.000542152	YES
5	-0.579585,-0.421491,-0.515832,1.22366,-11.9245,	0.996986	0.0005493	YES
6	-0.579585,-0.421491,-0.515832,1.22366,-11.9245,-10.8273,	0.993543	0.0217219	YES
7	-0.579585,-0.421491,-0.515832,1.22366,-11.9245,-10.8273,-6.11747,	0.992066	0.0184082	YES
n	100ms Silence pruned	0.982958	0.0277325	YES
n	100ms Silence	0.986714	0.0103345	YES
