
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.998406	0.00132837
1	-2.06219,	0.989799	0.000556793	YES
2	-2.06219,-5.67684,	0.990474	0.00274048	YES
3	-2.06219,-5.67684,0.466212,	0.984413	0.000832639	YES
4	-2.06219,-5.67684,0.466212,0.0750853,	0.986327	0.00189908	YES
5	-2.06219,-5.67684,0.466212,0.0750853,4.06317,	0.987284	0.00109499	YES
n	100ms Silence pruned	0.981158	0.0207412	YES
n	100ms Silence	0.989312	0.0227396	YES
