
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.994802	0.00628587
1	0.0159404,	0.995724	0.00666489	YES
2	0.0159404,-2.52686,	0.994418	0.00266596	YES
3	0.0159404,-2.52686,5.20994,	0.994774	0.00358127	YES
4	0.0159404,-2.52686,5.20994,-4.54111,	0.995415	0.00350972	YES
5	0.0159404,-2.52686,5.20994,-4.54111,-0.866962,	0.992876	0.00265041	YES
n	100ms Silence pruned	0.979011	0.0117089	YES
n	100ms Silence	0.985158	0.0140584	YES
