
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.997889	0.00263783
1	-1.45134,	0.994371	0.00268817	YES
2	-1.45134,-0.490487,	0.994075	0.00216275	YES
3	-1.45134,-0.490487,-0.861061,	0.99536	0.00273448	YES
4	-1.45134,-0.490487,-0.861061,-2.42369,	0.992965	0.00183342	YES
5	-1.45134,-0.490487,-0.861061,-2.42369,-0.0184079,	0.994022	0.00245432	YES
n	100ms Silence pruned	0.991186	0.0179942	YES
n	100ms Silence	0.989523	0.0194654	YES
