
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.996332	0.00549163
1	-0.265422,	0.994009	0.00815217	YES
2	-0.265422,-0.0371164,	0.994231	0.00794956	YES
3	-0.265422,-0.0371164,-3.04308,	0.992942	0.00813449	YES
4	-0.265422,-0.0371164,-3.04308,-0.639202,	0.993119	0.00933553	YES
5	-0.265422,-0.0371164,-3.04308,-0.639202,1.0384,	0.994939	0.0111199	YES
6	-0.265422,-0.0371164,-3.04308,-0.639202,1.0384,-1.77203,	0.994362	0.00856531	YES
n	100ms Silence pruned	0.988779	0.0387013	YES
n	100ms Silence	0.990811	0.0360242	YES
