
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.998656	0.0109159
1	0.0461652,	0.996047	0.0140845	YES
2	0.0461652,-0.184806,	0.997342	0.0100264	YES
3	0.0461652,-0.184806,-5.6046,	0.995097	0.0124358	YES
4	0.0461652,-0.184806,-5.6046,-0.466554,	0.995773	0.0133508	YES
5	0.0461652,-0.184806,-5.6046,-0.466554,-7.00908,	0.993333	0.00957192	YES
6	0.0461652,-0.184806,-5.6046,-0.466554,-7.00908,-5.06639,	0.985859	0.023262	YES
7	0.0461652,-0.184806,-5.6046,-0.466554,-7.00908,-5.06639,-2.18251,	0.971275	0.0302868	YES
8	0.0461652,-0.184806,-5.6046,-0.466554,-7.00908,-5.06639,-2.18251,0.0767861,	0.98773	0.0270625	YES
9	0.0461652,-0.184806,-5.6046,-0.466554,-7.00908,-5.06639,-2.18251,0.0767861,0.0691325,	0.98662	0.0168	YES
n	100ms Silence pruned	0.99142	0.0164745	YES
n	100ms Silence	0.989125	0.0181675	YES
