
No.	Weight(s)	TPR	FDR	canBeRemoved
0	0.000	0.99808	0.001098
1	-2.65675,	0.992954	0.00109051	YES
2	-2.65675,-0.554505,	0.994862	0.000543331	YES
3	-2.65675,-0.554505,-1.35321,	0.997492	0.0274457	YES
n	100ms Silence pruned	0.997892	0.0406393	NO
n	100ms Silence	0.995498	0.0105291	YES
