0	0	0	0	0	0	7.58349	0	0	0	0	0	0	
0	0	0	0	0	0	-4.7621	0	0	0	4.82834	0	0	
0	0	0	0	0	0	0	-8.27221	0	0	2.50818	0	0	
0	0	0	0	0	0	0	0	-7.81291	0	1.90189	0	0	
0	0	0	0	0	0	0	0	0	-26.9928	0.745272	0	0	
0	0	0	0	0	0	0	0	0	0	19.3509	3.87581	0	
0	0	0	0	0	0	4.87163	5.059	0	0	-10.4761	0	0	
0	0	0	0	0	0	0	3.51495	6.14306	0	-6.61671	0	0	
0	0	0	0	0	0	0	0	6.61394	0.560252	-3.94473	0	0	
0	0	0	0	0	0	0	0	0	10.1828	-3.74982	-4.41061	-18.588	
0	0	0	0	0	0	-4.16753	-0.49996	-5.30623	1.83379	9.5365	0	0	
0	0	0	0	0	0	0	0	0	0	19.5968	0	3.01942	
0	0	0	0	0	0	0	0	0	0	0	0	0	
