0	0	0	0	0	0	7.56767	0	0	0	0	0	0	
0	0	0	0	0	0	-4.03513	0	0	0	4.83335	0	0	
0	0	0	0	0	0	0	-7.30604	0	0	2.59449	0	0	
0	0	0	0	0	0	0	0	-8.09755	0	2.01412	0	0	
0	0	0	0	0	0	0	0	0	-26.3695	0.770387	0	0	
0	0	0	0	0	0	0	0	0	0	14.5577	3.60951	0	
0	0	0	0	0	0	4.83355	5.00142	0	0	-10.1847	0	0	
0	0	0	0	0	0	0	3.5734	6.45502	0	-6.20761	0	0	
0	0	0	0	0	0	0	0	6.56824	0.671147	-3.78793	0	0	
0	0	0	0	0	0	0	0	0	11.0725	-4.20595	-3.31695	-24.209	
0	0	0	0	0	0	-3.60874	-0.673517	-5.58557	3.15761	9.9062	0	0	
0	0	0	0	0	0	0	0	0	0	19.285	0	5.02995	
0	0	0	0	0	0	0	0	0	0	0	0	0	
